step,epoch,train_loss,val_loss,lr,best_val,no_improve
10000,0,5.284957,4.918735,0.00001328,inf,0
20000,0,3.951234,3.847613,0.00002656,4.918735,0
30000,0,3.405182,3.159333,0.00003983,3.847613,0
40000,0,3.087584,2.807987,0.00005311,3.159333,0
50000,0,2.459527,2.620480,0.00006639,2.807987,0
60000,0,2.852072,2.503501,0.00007967,2.620480,0
70000,0,2.634186,2.421042,0.00009295,2.503501,0
80000,0,2.605582,2.351496,0.00009931,2.421042,0
90000,0,2.278393,2.287421,0.00009783,2.351496,0
100000,0,2.587767,2.233537,0.00009636,2.287421,0
110000,0,2.258866,2.194256,0.00009488,2.233537,0
120000,0,2.563721,2.159026,0.00009341,2.194256,0
130000,0,2.188249,2.128107,0.00009193,2.159026,0
140000,0,2.496446,2.102595,0.00009046,2.128107,0
150000,0,2.337337,2.082866,0.00008898,2.102595,0
160000,0,2.518609,2.066183,0.00008751,2.082866,0
170000,0,2.484218,2.046936,0.00008603,2.066183,0
180000,0,2.317577,2.033608,0.00008456,2.046936,0
190000,0,2.154804,2.019326,0.00008308,2.033608,0
200000,0,2.066906,2.002640,0.00008160,2.019326,0
210000,0,2.500531,1.992558,0.00008013,2.002640,0
220000,0,2.248641,1.979905,0.00007865,1.992558,0
230000,0,2.237251,1.972265,0.00007718,1.979905,0
240000,0,2.131380,1.960672,0.00007570,1.972265,0
250000,0,2.479710,1.950100,0.00007423,1.960672,0
260000,0,2.143712,1.942838,0.00007275,1.950100,0
270000,0,2.303486,1.932771,0.00007128,1.942838,0
280000,0,2.199905,1.926832,0.00006980,1.932771,0
290000,0,2.328882,1.918311,0.00006833,1.926832,0
300000,0,2.037381,1.910686,0.00006685,1.918311,0
310000,0,2.220347,1.903309,0.00006538,1.910686,0
320000,0,2.154296,1.898545,0.00006390,1.903309,0
330000,0,2.116522,1.890920,0.00006243,1.898545,0
340000,0,2.262156,1.885878,0.00006095,1.890920,0
350000,0,1.989704,1.879923,0.00005948,1.885878,0
360000,0,2.058304,1.874790,0.00005800,1.879923,0
370000,0,2.188312,1.870605,0.00005652,1.874790,0
380000,0,2.020631,1.864308,0.00005505,1.870605,0
390000,0,2.029379,1.859296,0.00005357,1.864308,0
400000,0,2.202015,1.854956,0.00005210,1.859296,0
410000,0,2.168155,1.850677,0.00005062,1.854956,0
420000,0,2.011765,1.845450,0.00004915,1.850677,0
430000,0,2.010783,1.841160,0.00004767,1.845450,0
440000,0,1.978223,1.836486,0.00004620,1.841160,0
450000,0,1.968418,1.832278,0.00004472,1.836486,0
460000,0,1.934346,1.826708,0.00004325,1.832278,0
470000,0,1.870008,1.823455,0.00004177,1.826708,0
480000,0,2.218491,1.818854,0.00004030,1.823455,0
490000,0,2.091962,1.815019,0.00003882,1.818854,0
500000,0,1.997139,1.810681,0.00003735,1.815019,0
510000,0,2.241735,1.808121,0.00003587,1.810681,0
520000,0,1.899914,1.803409,0.00003440,1.808121,0
530000,0,2.408309,1.799904,0.00003292,1.803409,0
540000,0,2.205364,1.794729,0.00003144,1.799904,0
550000,0,2.094576,1.790876,0.00002997,1.794729,0
560000,0,2.120510,1.789066,0.00002849,1.790876,0
570000,0,1.946360,1.785229,0.00002702,1.789066,0
580000,0,2.077836,1.781930,0.00002554,1.785229,0
590000,0,2.015872,1.777491,0.00002407,1.781930,0
600000,0,2.284776,1.774819,0.00002259,1.777491,0
610000,0,1.874002,1.772072,0.00002112,1.774819,0
620000,0,1.932847,1.769232,0.00001964,1.772072,0
630000,0,1.998965,1.766143,0.00001817,1.769232,0
640000,0,2.018692,1.762617,0.00001669,1.766143,0
650000,0,2.121094,1.760474,0.00001522,1.762617,0
660000,0,1.979999,1.757919,0.00001374,1.760474,0
670000,0,2.041667,1.755319,0.00001227,1.757919,0
680000,0,2.092691,1.752035,0.00001079,1.755319,0
690000,0,2.226679,1.749736,0.00000931,1.752035,0
700000,0,1.959917,1.746368,0.00000784,1.749736,0
710000,0,1.699667,1.744136,0.00000636,1.746368,0
720000,0,1.862326,1.741680,0.00000489,1.744136,0
730000,0,1.908474,1.739796,0.00000341,1.741680,0
740000,0,1.783012,1.738158,0.00000194,1.739796,0
750000,0,2.059639,1.737179,0.00000046,1.738158,0
