step,epoch,batch_loss,avg_loss,batch_acc,avg_acc,val_loss,lr,best_val,no_improve
10000,0,4.944736,6.435980,0.000000,0.000000,4.976578,0.00001328,inf,0
20000,0,4.118268,5.432740,0.000000,0.000000,3.872217,0.00002656,4.976578,0
30000,0,3.384486,4.832302,0.000000,0.000000,3.163426,0.00003983,3.872217,0
40000,0,3.161038,4.418829,0.000000,0.000000,2.802440,0.00005000,3.163426,0
50000,0,2.790483,4.120756,0.000000,0.000000,2.594851,0.00004996,2.802440,0
60000,0,2.741565,3.896470,0.000000,0.000000,2.465891,0.00004988,2.594851,0
70000,0,2.817653,3.723299,0.000000,0.000000,2.381143,0.00004975,2.465891,0
80000,0,2.851148,3.599042,0.000000,0.000000,2.363571,0.00004957,2.381143,0
90000,0,2.499855,3.484086,0.000000,0.000000,2.278120,0.00004934,2.363571,0
100000,0,2.312347,3.387363,0.000000,0.000000,2.234432,0.00004907,2.278120,0
110000,0,2.496470,3.304937,0.000000,0.000000,2.199258,0.00004875,2.234432,0
120000,0,2.377797,3.233996,0.000000,0.000000,2.170922,0.00004838,2.199258,0
130000,0,2.204262,3.171805,0.000000,0.000000,2.144741,0.00004797,2.170922,0
140000,0,2.255756,3.116741,0.000000,0.000000,2.122280,0.00004752,2.144741,0
150000,0,2.346810,3.067731,0.000000,0.000000,2.101890,0.00004702,2.122280,0
160000,0,2.703050,3.036574,0.000000,0.000000,2.124397,0.00004648,2.101890,0
170000,0,2.112962,2.996570,0.000000,0.000000,2.077959,0.00004590,2.101890,1
180000,0,2.424921,2.959820,0.000000,0.000000,2.057549,0.00004527,2.077959,0
190000,0,2.035672,2.926048,0.000000,0.000000,2.048607,0.00004461,2.057549,0
200000,0,2.422277,2.895062,0.000000,0.000000,2.034169,0.00004391,2.048607,0
210000,0,2.433534,2.866430,0.000000,0.000000,2.021954,0.00004318,2.034169,0
220000,0,2.284173,2.839884,0.000000,0.000000,2.008483,0.00004241,2.021954,0
230000,0,2.320964,2.819104,0.000000,0.000000,2.029070,0.00004160,2.008483,0
240000,0,2.108344,2.795893,0.000000,0.000000,1.991651,0.00004077,2.008483,1
250000,0,2.337267,2.774060,0.000000,0.000000,1.979285,0.00003990,1.991651,0
260000,0,2.263039,2.753363,0.000000,0.000000,1.969225,0.00003900,1.979285,0
270000,0,2.101979,2.734068,0.000000,0.000000,1.960463,0.00003808,1.969225,0
280000,0,2.131404,2.715751,0.000000,0.000000,1.953899,0.00003713,1.960463,0
290000,0,2.354523,2.698453,0.000000,0.000000,1.944972,0.00003616,1.953899,0
300000,0,2.125706,2.681955,0.000000,0.000000,1.937475,0.00003517,1.944972,0
310000,0,2.374379,2.672537,0.000000,0.000000,1.962070,0.00003416,1.937475,0
320000,0,2.314669,2.657694,0.000000,0.000000,1.928476,0.00003313,1.937475,1
330000,0,2.135658,2.643419,0.000000,0.000000,1.917707,0.00003208,1.928476,0
340000,0,2.090470,2.629823,0.000000,0.000000,1.911423,0.00003102,1.917707,0
350000,0,2.095638,2.616695,0.000000,0.000000,1.904498,0.00002995,1.911423,0
360000,0,2.126874,2.604037,0.000000,0.000000,1.896119,0.00002887,1.904498,0
370000,0,2.109506,2.591979,0.000000,0.000000,1.890417,0.00002778,1.896119,0
380000,0,2.348657,2.582589,0.000000,0.000000,1.911531,0.00002669,1.890417,0
390000,0,2.132110,2.571518,0.000000,0.000000,1.879997,0.00002559,1.890417,1
400000,0,2.341059,2.560725,0.000000,0.000000,1.876452,0.00002449,1.879997,0
410000,0,2.318037,2.550243,0.000000,0.000000,1.868669,0.00002340,1.876452,0
420000,0,2.201514,2.540209,0.000000,0.000000,1.862919,0.00002230,1.868669,0
430000,0,2.061030,2.530427,0.000000,0.000000,1.856954,0.00002122,1.862919,0
440000,0,2.172191,2.521031,0.000000,0.000000,1.853712,0.00002014,1.856954,0
450000,0,2.160233,2.511893,0.000000,0.000000,1.847699,0.00001906,1.853712,0
460000,0,2.459610,2.507536,0.000000,0.000000,1.877883,0.00001800,1.847699,0
470000,0,2.065648,2.498976,0.000000,0.000000,1.841927,0.00001696,1.847699,1
480000,0,2.001544,2.490634,0.000000,0.000000,1.836420,0.00001593,1.841927,0
490000,0,2.043633,2.482520,0.000000,0.000000,1.831562,0.00001491,1.836420,0
500000,0,2.087296,2.474623,0.000000,0.000000,1.826941,0.00001392,1.831562,0
510000,0,2.147447,2.466935,0.000000,0.000000,1.823290,0.00001294,1.826941,0
520000,0,1.914916,2.459519,0.000000,0.000000,1.820179,0.00001199,1.823290,0
530000,0,2.208687,2.453772,0.000000,0.000000,1.844900,0.00001107,1.820179,0
540000,0,2.238077,2.446709,0.000000,0.000000,1.812187,0.00001017,1.820179,1
550000,0,1.992795,2.439811,0.000000,0.000000,1.807927,0.00000930,1.812187,0
560000,0,2.128218,2.433133,0.000000,0.000000,1.803926,0.00000846,1.807927,0
570000,0,2.321265,2.426610,0.000000,0.000000,1.800747,0.00000766,1.803926,0
580000,0,1.817015,2.420283,0.000000,0.000000,1.798141,0.00000688,1.800747,0
590000,0,2.317557,2.414065,0.000000,0.000000,1.796371,0.00000614,1.798141,0
600000,0,2.050710,2.408013,0.000000,0.000000,1.793070,0.00000544,1.796371,0
610000,0,2.387128,2.405684,0.000000,0.000000,1.823990,0.00000478,1.793070,0
620000,0,2.114611,2.400002,0.000000,0.000000,1.790173,0.00000415,1.793070,1
630000,0,1.981590,2.394413,0.000000,0.000000,1.787426,0.00000357,1.790173,0
640000,0,1.942860,2.388928,0.000000,0.000000,1.785051,0.00000302,1.787426,0
650000,0,1.997679,2.383562,0.000000,0.000000,1.783452,0.00000252,1.785051,0
660000,0,1.982052,2.378336,0.000000,0.000000,1.781904,0.00000206,1.783452,0
670000,0,1.901223,2.373300,0.000000,0.000000,1.780776,0.00000165,1.781904,0
680000,0,2.228742,2.369327,0.000000,0.000000,1.800745,0.00000128,1.780776,0
690000,0,1.971771,2.364485,0.000000,0.000000,1.779062,0.00000095,1.780776,1
700000,0,2.528322,2.359786,0.000000,0.000000,1.778518,0.00000068,1.779062,0
710000,0,1.973763,2.355232,0.000000,0.000000,1.778112,0.00000045,1.778518,0
720000,0,2.030607,2.350754,0.000000,0.000000,1.777665,0.00000026,1.778112,0
730000,0,1.917821,2.346399,0.000000,0.000000,1.777464,0.00000013,1.777665,0
740000,0,1.808147,2.342187,0.000000,0.000000,1.777307,0.00000004,1.777464,0
750000,0,2.117298,2.338067,0.000000,0.000000,1.777271,0.00000000,1.777307,0
